,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"drivers license","Olivia Rodrigo",18685,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
56,توادعني,"Abdullah Al Farwan",18622,https://open.spotify.com/track/079sdn3zsNpWS7JvJ6amUs
57,"Let Me Down Slowly","Alec Benjamin",18507,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
58,Falling,"Trevor Daniel",18241,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
59,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,17975,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
60,HOLIDAY,"Lil Nas X",17845,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
61,Up,"Cardi B",17588,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
62,"HIGHEST IN THE ROOM","Travis Scott",17492,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
63,Believer,"Imagine Dragons",17386,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
64,"Sweater Weather","The Neighbourhood",16822,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
65,"deja vu","Olivia Rodrigo",16711,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
66,"هذا السعودي فوق","Fahed Bin Fasla",16629,https://open.spotify.com/track/1fLrPuVJlEn1YjBwZFUw2i
67,goosebumps,"Travis Scott",16590,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
68,"AL ADEEB FE FAN ATTA'DEEB",Klash,16401,https://open.spotify.com/track/3zBmOxmTNgDppTO55zlXZf
69,"تستحق الآنتظار","Fahed Bin Fasla",16169,https://open.spotify.com/track/7xdkI2IozMVjRQgYmNZCBk
70,"جابك الطاري","Abdullah Al Farwan",16089,https://open.spotify.com/track/0qN5UU5wE0a3Tr9WwY27Ek
71,"La Oalef La","Yousif Al Sumaidaie",16001,https://open.spotify.com/track/5x6FYvmEwCwn8OLb6GQD0Z
72,SAD!,XXXTENTACION,15961,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
73,Streets,"Doja Cat",15669,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
74,"Fairytale - e-single version","Alexander Rybak",15612,https://open.spotify.com/track/4ijrqnZcTEs9eMA3vFsMES
75,"Someone You Loved","Lewis Capaldi",15436,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
76,"Calling My Phone","Lil Tjay",15396,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
77,Hope,XXXTENTACION,15239,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
78,Moonlight,XXXTENTACION,15169,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
79,"On The Ground",ROSÉ,15025,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
80,"Don't Start Now","Dua Lipa",14832,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
81,"كان يهمني","Assala Nasri",14832,https://open.spotify.com/track/3oGUMQ4n2m6dP6qafNePth
82,"SICKO MODE","Travis Scott",14801,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
83,BOP,DaBaby,14787,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
84,طرشوله,"Queen G",14741,https://open.spotify.com/track/6zKRAoVTjxGaXYxUdSTUHB
85,"Rouh W Nsani",Yasmeen,14482,https://open.spotify.com/track/1yHv6JilviCyhxRH46NO65
86,"اقدح اقدح","Gaziy Bin Sahab",14116,https://open.spotify.com/track/2h8nveBGqqBD8ctxTtm9rs
87,"Fearless Pt. II","Lost Sky",14053,https://open.spotify.com/track/4VZH6OfxPy1nNE7KbtVKyK
88,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",14052,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
89,Mraytak,"Mohammad Assaf",13914,https://open.spotify.com/track/4IWxjQDeDqlweXncI9Y3ud
90,"Tebka Tebka","Ahmed El Maslawy",13868,https://open.spotify.com/track/5xGOoUnDRjdblyUHYSAaSF
91,"Toosie Slide",Drake,13756,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
92,positions,"Ariana Grande",13595,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
93,"Al Mafrood","Aseel Hameem",13444,https://open.spotify.com/track/5Aigt44wICHJ2BDshPZqvh
94,"Blueberry Faygo","Lil Mosey",13439,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
95,"ريكلس - راب ون بيس",SafahMusic,13392,https://open.spotify.com/track/1cvGTIuGxxu9nJ9xzGWWg3
96,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",13348,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
97,"Without Me",Halsey,13195,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
98,"Hymn for the Weekend",Coldplay,12912,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
99,Cradles,"Sub Urban",12908,https://open.spotify.com/track/18A7ha5BitZjmdHTCwXFbU
100,عشق,"Faisal Abdulkareem",12851,https://open.spotify.com/track/725MeomdTm3bEr07Mzhgma
101,"THE SCOTTS","THE SCOTTS",12618,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
102,"Dance Monkey","Tones And I",12452,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
103,"Leeh Aashgah","Meteb Alshalan",12334,https://open.spotify.com/track/0TBgkcyxayUBByqDt0HhNR
104,"أغلى بشر","غريب ال مخلص",12227,https://open.spotify.com/track/7fAQzk700MNDzRbxbQ8GKm
105,"Jocelyn Flores",XXXTENTACION,12207,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
106,"Talking to the Moon","Bruno Mars",12197,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
107,"Enta Tfooz","Evan Naji",12165,https://open.spotify.com/track/60vLUncUF3RaSG5xK0rnU4
108,"حظر التجول","Abdullah Al Mukhles",12111,https://open.spotify.com/track/1a4lkIOntwMbpRYByb0xYp
109,"ريكلس - عائلة 25",Reckless,12076,https://open.spotify.com/track/6MMzoShOiY3RPgnVmVsqQI
110,"Night Changes","One Direction",12031,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
111,"Jalebi Baby",Tesher,12015,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv
112,Nsani,"Ali 3arnoos",11875,https://open.spotify.com/track/0URQ9difQTMsdI0RzGdU8e
113,"Roses - Imanbek Remix","SAINt JHN",11807,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
114,"Blood // Water",grandson,11774,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw
115,Warqa,"Saif Amer",11700,https://open.spotify.com/track/6mwaAeZONHdnqokoNj7fV0
116,"Hold On","Justin Bieber",11689,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
117,"What You Know Bout Love","Pop Smoke",11628,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
118,"دندن له (every body say)","منصور الوايلي",11596,https://open.spotify.com/track/3b4uoU17GYfOb3FWzuQX7t
119,"Mad Mad World (feat. Sizzla Kalonji & Collie Buddz)",Shaggy,11589,https://open.spotify.com/track/3hPbdPIXZPpyywSxnKNtYh
120,"Get You The Moon (feat. Snøw)",Kina,11576,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
121,"My Ordinary Life","The Living Tombstone",11459,https://open.spotify.com/track/6tMdpUXfT70TD6Eh3XfB1p
122,"أحبك يوم تاخذني","محمد الديحاني",11452,https://open.spotify.com/track/3C0Hpz4Df64ZszZNODDaUV
123,"Godzilla (feat. Juice WRLD)",Eminem,11289,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
124,"Nyanpasu (Rynti M Remix)","Renge Miyauchi",11138,https://open.spotify.com/track/1SYOeS2Zi59MVcqMH0k2ft
125,"Lucid Dreams","Juice WRLD",11071,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
126,"Knock Knock",SoFaygo,10994,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
127,Ethebny,"Assala Nasri",10976,https://open.spotify.com/track/5uArNfOPW1qDbtPujYtM3F
128,"WITHOUT YOU","The Kid LAROI",10950,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
129,"Akhsamna Tandas - Remix",Shela,10948,https://open.spotify.com/track/7mE7qSqqq7Bv5lm7r7ObMf
130,"The Real Slim Shady",Eminem,10896,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
131,"OUT WEST (feat. Young Thug)",JACKBOYS,10865,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
132,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",10776,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
